Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Damaged Flood Control Structure, Brgy. Balimbing, Boac, Marinduque",MARINDUQUE,G.T.J. CONSTRUCTION,"24,515,665.50",12/01/2023,REPORT,"Construction of Damaged Flood Control Structure, Brgy. Balimbing, Boac, Marinduque",03/28/2023,"CONTRACTOR:
G.T.J. CONSTRUCTION","CONTRACT COST: 24,515,665.50","MARINDUQUE (13.429370 , 121.884416)",Region IV-B,Construction of Flood Mitigation Structure,FY 2023
"Construction of Slope Protection Structure along Imus River, Barangay San Miguel, Dasmariñas City, Cavite",CAVITE,KLDS TRADING & CONSTRUCTION,"96,494,841.42",12/01/2023,REPORT,"Construction of Slope Protection Structure along Imus River, Barangay San Miguel, Dasmariñas City, Cavite",03/02/2022,"CONTRACTOR:
KLDS TRADING & CONSTRUCTION","CONTRACT COST: 96,494,841.42","CAVITE (14.336640 , 120.947620)",Region IV-A,Construction of Slope Protection Structure,FY 2022
"Construction of Concrete Revetment along Balagtas River Sta. 14 + 780 - Sta. 14 + 985, Panginay Section, Balagtas, Bulacan",BULACAN,RDBT CONSTRUCTION CORP. / C.B. GARAY PHILWIDE BUILDERS,"57,899,547.58",12/01/2023,REPORT,"Construction of Concrete Revetment along Balagtas River Sta. 14 + 780 - Sta. 14 + 985, Panginay Section, Balagtas, Bulacan",02/13/2023,"CONTRACTOR:
RDBT CONSTRUCTION CORP. / C.B. GARAY PHILWIDE BUILDERS","CONTRACT COST: 57,899,547.58","BULACAN (14.806970 , 120.897333)",Region III,Construction of Revetment,FY 2023
"Construction of Flood Control/River Control Structure Along Bongo River, Brgy. Balioeg, Banna, Ilocos Norte",ILOCOS NORTE,JLP CONSTRUCTION & SUPPLY (FORMERLY: JLP CONSTRUCT,"48,249,997.02",12/01/2023,REPORT,"Construction of Flood Control/River Control Structure Along Bongo River, Brgy. Balioeg, Banna, Ilocos Norte",02/23/2023,"CONTRACTOR:
JLP CONSTRUCTION & SUPPLY (FORMERLY: JLP CONSTRUCT","CONTRACT COST: 48,249,997.02","ILOCOS NORTE (17.958116 , 120.675218)",Region I,Construction of Flood Mitigation Structure,FY 2023
"Construction of Slope Protection at Yabyabuan Multi-Grade School, Barangay Bagong, Sablan, Benguet",BENGUET,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,"14,688,347.00",12/01/2023,REPORT,"Construction of Slope Protection at Yabyabuan Multi-Grade School, Barangay Bagong, Sablan, Benguet",09/07/2022,"CONTRACTOR:
UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES","CONTRACT COST: 14,688,347.00","BENGUET (16.544339 , 120.533664)",Cordillera Administrative Region,Construction of Slope Protection Structure,FY 2022
"Construction of Flood Control Dike along Kabacan River R/S, Brgy. Inac, Magpet, North Cotabato",COTABATO (NORTH COTABATO),MARCUS CONSTRUCTION & SUPPLY,"67,550,000.00",11/30/2023,REPORT,"Construction of Flood Control Dike along Kabacan River R/S, Brgy. Inac, Magpet, North Cotabato",02/24/2022,"CONTRACTOR:
MARCUS CONSTRUCTION & SUPPLY","CONTRACT COST: 67,550,000.00","COTABATO (NORTH COTABATO) (7.128455 , 125.083444)",Region XII,Construction of Dike,FY 2022
"Construction of Box Culvert/Drainage System, Liboac Brgy. Elizalde, Davao de Oro",DAVAO DE ORO,GIZA BUILDERS CORPORATION (FORMERLY: LITO HEAVY EQUIPMENT AND TRUCKING SERVICES),"14,700,000.00",11/30/2023,REPORT,"Construction of Box Culvert/Drainage System, Liboac Brgy. Elizalde, Davao de Oro",03/17/2023,"CONTRACTOR:
GIZA BUILDERS CORPORATION (FORMERLY: LITO HEAVY EQUIPMENT AND TRUCKING SERVICES)","CONTRACT COST: 14,700,000.00","DAVAO DE ORO (7.394146 , 125.992719)",Region XI,Construction of Drainage Structure,FY 2023
"Construction of Somogot Flood Control, Barangay Somogot, Amai Manabilang, Lanao del Sur",LANAO DEL SUR,M.M.A. ACHIEVER CONSTRUCTION & DEVELOPMENT CORP.,"47,767,418.63",11/30/2023,REPORT,"Construction of Somogot Flood Control, Barangay Somogot, Amai Manabilang, Lanao del Sur",04/11/2023,"CONTRACTOR:
M.M.A. ACHIEVER CONSTRUCTION & DEVELOPMENT CORP.","CONTRACT COST: 47,767,418.63","LANAO DEL SUR (7.755235 , 124.706174)",Bangsamoro Autonomous Region in Muslim Mindanao,Construction of Flood Mitigation Structure,FY 2023
"Construction of Salvacion Flood Control (Downstream), Albuera, Leyte",LEYTE,COLLERA CONSTRUCTION,"96,362,987.12",11/30/2023,REPORT,"Construction of Salvacion Flood Control (Downstream), Albuera, Leyte",03/15/2023,"CONTRACTOR:
COLLERA CONSTRUCTION","CONTRACT COST: 96,362,987.12","LEYTE (10.879269 , 124.741874)",Region VIII,Construction of Flood Mitigation Structure,FY 2023
"Rehabilitation of Lumbangan River Control, Mabinay, Negros Oriental",NEGROS ORIENTAL,PHILSOUTH BUILDERS INC (FORMERLY:PHILSOUTH BUILDERS),"53,557,500.00",11/30/2023,REPORT,"Rehabilitation of Lumbangan River Control, Mabinay, Negros Oriental",02/17/2023,"CONTRACTOR:
PHILSOUTH BUILDERS INC (FORMERLY:PHILSOUTH BUILDERS)","CONTRACT COST: 53,557,500.00","NEGROS ORIENTAL (9.688100 , 122.948990)",Negros Island Region,Rehabilitation / Major Repair of Flood Control Structure,FY 2023
"Construction of Flood Control/Slope Protection along Suage River in Mina, Iloilo",ILOILO,"TIBIAO-ANTIQUE N.K. ENTERPRISE, INC.","28,679,261.91",11/30/2023,REPORT,"Construction of Flood Control/Slope Protection along Suage River in Mina, Iloilo",03/29/2022,"CONTRACTOR:
TIBIAO-ANTIQUE N.K. ENTERPRISE, INC.","CONTRACT COST: 28,679,261.91","ILOILO (10.931610 , 122.576508)",Region VI,Construction of Flood Mitigation Structure,FY 2022
"Construction/ Rehabilitation of Flood Protection Measures at Brgy. Macabog, Sorsogon City",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"83,375,874.08",11/30/2023,REPORT,"Construction/ Rehabilitation of Flood Protection Measures at Brgy. Macabog, Sorsogon City",02/23/2023,"CONTRACTOR:
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.","CONTRACT COST: 83,375,874.08","SORSOGON (12.983214 , 123.989850)",Region V,Construction of Flood Mitigation Structure,FY 2023
"Construction of Riverbank Protection Structure along Libmanan River, Brgy. Cristo Rey Section, Lupi, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"82,024,604.89",11/30/2023,REPORT,"Construction of Riverbank Protection Structure along Libmanan River, Brgy. Cristo Rey Section, Lupi, Camarines Sur",04/19/2023,"CONTRACTOR:
BICOL GOLDROCK CONSTRUCTION CORPORATION","CONTRACT COST: 82,024,604.89","CAMARINES SUR (13.821323 , 122.908078)",Region V,Construction of Flood Mitigation Structure,FY 2023
"Rehabilitation of Left and Right Side of Talisay River Flood Mitigation Structure, Brgy. Zone 4, Libon, Albay",ALBAY,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,"74,249,999.50",11/30/2023,REPORT,"Rehabilitation of Left and Right Side of Talisay River Flood Mitigation Structure, Brgy. Zone 4, Libon, Albay",05/15/2023,"CONTRACTOR:
RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES","CONTRACT COST: 74,249,999.50","ALBAY (13.288194 , 123.416927)",Region V,Rehabilitation / Major Repair of Flood Control Structure,FY 2023
"Construction of Flood Revetment Wall Zone 1 and 2, barangay San Agustin, Libon, Albay",ALBAY,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,"72,304,999.43",11/30/2023,REPORT,"Construction of Flood Revetment Wall Zone 1 and 2, barangay San Agustin, Libon, Albay",05/15/2023,"CONTRACTOR:
RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES","CONTRACT COST: 72,304,999.43","ALBAY (13.323056 , 123.434170)",Region V,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Mitigation Structure and Drainage System Tributaries to Yawa River (Budiao - Miisi Section) Phase 3, Daraga, Albay",ALBAY,3DIAMONDS CONSTRUCTION CORPORATION,"48,248,322.88",11/30/2023,REPORT,"Construction of Flood Control Mitigation Structure and Drainage System Tributaries to Yawa River (Budiao - Miisi Section) Phase 3, Daraga, Albay",07/03/2023,"CONTRACTOR:
3DIAMONDS CONSTRUCTION CORPORATION","CONTRACT COST: 48,248,322.88","ALBAY (13.179656 , 123.690236)",Region V,Construction of Dike,FY 2023
"Construction of Flood Mitigation Structure at East Manggahan River, Brgy. San Juan, Taytay, Rizal",RIZAL,ST. TIMOTHY CONSTRUCTION CORPORATION,"102,289,849.97",11/30/2023,REPORT,"Construction of Flood Mitigation Structure at East Manggahan River, Brgy. San Juan, Taytay, Rizal",03/23/2022,"CONTRACTOR:
ST. TIMOTHY CONSTRUCTION CORPORATION","CONTRACT COST: 102,289,849.97","RIZAL (14.535869 , 121.130358)",Region IV-A,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Structure, Apia River, Barangay Calawis, Antipolo City",RIZAL,M.G. LUALHATI CONSTRUCTION CORP.,"48,996,559.72",11/30/2023,REPORT,"Construction of Flood Control Structure, Apia River, Barangay Calawis, Antipolo City",03/21/2023,"CONTRACTOR:
M.G. LUALHATI CONSTRUCTION CORP.","CONTRACT COST: 48,996,559.72","RIZAL (14.704589 , 121.248559)",Region IV-A,Construction of Flood Mitigation Structure,FY 2023
"Construction of Revetment along Cañas River, Barangay Paradahan, Phase I, Tanza, Cavite",CAVITE,N.B. AVILA CONSTRUCTION,"49,000,000.00",11/30/2023,REPORT,"Construction of Revetment along Cañas River, Barangay Paradahan, Phase I, Tanza, Cavite",03/06/2023,"CONTRACTOR:
N.B. AVILA CONSTRUCTION","CONTRACT COST: 49,000,000.00","CAVITE (14.321403 , 120.884439)",Region IV-A,Construction of Revetment,FY 2023
"Construction of River Control Project at Barangay Tangos, Sta. 00+300 to Sta. 00+700, Baliuag, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC.","96,499,304.28",11/30/2023,REPORT,"Construction of River Control Project at Barangay Tangos, Sta. 00+300 to Sta. 00+700, Baliuag, Bulacan",02/13/2023,"CONTRACTOR:
L.R. TIQUI BUILDERS, INC.","CONTRACT COST: 96,499,304.28","BULACAN (14.979423 , 120.889222)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of River Control Project along Guiguinto River, Barangay Malis, Sta. 02+250 - Sta. 02+610, Guiguinto, Bulacan",BULACAN,A.R.L. CONSTRUCTION,"96,499,623.93",11/30/2023,REPORT,"Construction of River Control Project along Guiguinto River, Barangay Malis, Sta. 02+250 - Sta. 02+610, Guiguinto, Bulacan",02/13/2023,"CONTRACTOR:
A.R.L. CONSTRUCTION","CONTRACT COST: 96,499,623.93","BULACAN (14.836925 , 120.875628)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction/Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal River - Busilac Section along Magat River, Bayombong, Nueva Vizcaya",NUEVA VIZCAYA,J.E.L. CONSTRUCTION & SUPPLY,"19,300,000.00",11/30/2023,REPORT,"Construction/Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal River - Busilac Section along Magat River, Bayombong, Nueva Vizcaya",06/28/2023,"CONTRACTOR:
J.E.L. CONSTRUCTION & SUPPLY","CONTRACT COST: 19,300,000.00","NUEVA VIZCAYA (16.466654 , 121.119407)",Region II,Construction of Flood Mitigation Structure,FY 2023
"Construction of Slope Protection Works along Cacaritan Creek, Cacaritan Section, San Carlos City, Pangasinan",PANGASINAN,2-R CONSTRUCTION SUPPLY,"19,599,224.91",11/30/2023,REPORT,"Construction of Slope Protection Works along Cacaritan Creek, Cacaritan Section, San Carlos City, Pangasinan",02/22/2023,"CONTRACTOR:
2-R CONSTRUCTION SUPPLY","CONTRACT COST: 19,599,224.91","PANGASINAN (15.941800 , 120.327800)",Region I,Construction of Flood Mitigation Structure,FY 2023
"Rehabilitation of Buaya Creek, Quezon City",QUEZON CITY,E.L. TORRES CONSTRUCTION AND TRADING INC. (FORMERLY : E. L. TORRES CONSTRUCTION & TRADING,"4,851,553.48",11/30/2023,REPORT,"Rehabilitation of Buaya Creek, Quezon City",03/29/2023,"CONTRACTOR:
E.L. TORRES CONSTRUCTION AND TRADING INC. (FORMERLY : E. L. TORRES CONSTRUCTION & TRADING","CONTRACT COST: 4,851,553.48","QUEZON CITY (14.627470 , 121.062680)",National Capital Region,Rehabilitation / Major Repair of Flood Control Structure,FY 2023
"Construction of Fengar Flood Control, Sta. 33 + 220- Sta. 33 + 470 (RS) along Agkuyo-Chico River, Bontoc, Mountain Province",MOUNTAIN PROVINCE,KOMICHOV GENERAL CONSTRUCTION,"29,400,000.00",11/30/2023,REPORT,"Construction of Fengar Flood Control, Sta. 33 + 220- Sta. 33 + 470 (RS) along Agkuyo-Chico River, Bontoc, Mountain Province",08/14/2023,"CONTRACTOR:
KOMICHOV GENERAL CONSTRUCTION","CONTRACT COST: 29,400,000.00","MOUNTAIN PROVINCE (17.060000 , 120.991940)",Cordillera Administrative Region,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure along Calbayog River (Downstream), Barangay Dagum, Calbayog City, Samar",SAMAR (WESTERN SAMAR),CDU CONSTRUCTION,"57,382,293.04",11/29/2023,REPORT,"Construction of Flood Control Structure along Calbayog River (Downstream), Barangay Dagum, Calbayog City, Samar",03/15/2023,"CONTRACTOR:
CDU CONSTRUCTION","CONTRACT COST: 57,382,293.04","SAMAR (WESTERN SAMAR) (12.075000 , 124.591111)",Region VIII,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure along Gandara River, Brgy. Bangahon (Phase II), Gandara, Samar",SAMAR (WESTERN SAMAR),"RNMK CONSTRUCTION, SUPPLY AND DEVELOPMENT CORP. (FOR: RNMK CONST. & DEV'T)","48,408,761.87",11/29/2023,REPORT,"Construction of Flood Control Structure along Gandara River, Brgy. Bangahon (Phase II), Gandara, Samar",02/08/2022,"CONTRACTOR:
RNMK CONSTRUCTION, SUPPLY AND DEVELOPMENT CORP. (FOR: RNMK CONST. & DEV'T)","CONTRACT COST: 48,408,761.87","SAMAR (WESTERN SAMAR) (12.025278 , 124.816111)",Region VIII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Structure along Butuanon River Upstream, Barangay Maguikay, Mandaue City, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION),"96,398,888.00",11/29/2023,REPORT,"Construction of Flood Control Structure along Butuanon River Upstream, Barangay Maguikay, Mandaue City, Cebu",05/12/2023,"CONTRACTOR:
QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION)","CONTRACT COST: 96,398,888.00","CEBU (10.342084 , 123.947243)",Region VII,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure, Bohe Basilan Bridge, Tipo-Tipo, Basilan",BASILAN,BOSH MEGATRADE AND SERVICES CO.,"27,040,410.00",11/29/2023,REPORT,"Construction of Flood Control Structure, Bohe Basilan Bridge, Tipo-Tipo, Basilan",05/11/2023,"CONTRACTOR:
BOSH MEGATRADE AND SERVICES CO.","CONTRACT COST: 27,040,410.00","BASILAN (6.483976 , 122.087679)",Bangsamoro Autonomous Region in Muslim Mindanao,Construction of Flood Mitigation Structure,FY 2023
"Construction of Revetment along San Juan River, Barangay Sampiruhan, Calamba City, Laguna",LAGUNA,E.R. VENZON CONSTRUCTION,"42,953,626.00",11/29/2023,REPORT,"Construction of Revetment along San Juan River, Barangay Sampiruhan, Calamba City, Laguna",02/21/2023,"CONTRACTOR:
E.R. VENZON CONSTRUCTION","CONTRACT COST: 42,953,626.00","LAGUNA (14.223469 , 121.181647)",Region IV-A,Construction of Revetment,FY 2023
"Construction of Flood Control Structure at Barangay Ibayo Estacion, Naic, Cavite",CAVITE,MORTAR MASTERS & CONCRETE BUILDERS,"30,582,429.65",11/29/2023,REPORT,"Construction of Flood Control Structure at Barangay Ibayo Estacion, Naic, Cavite",03/14/2022,"CONTRACTOR:
MORTAR MASTERS & CONCRETE BUILDERS","CONTRACT COST: 30,582,429.65","CAVITE (14.319910 , 120.766170)",Region IV-A,Construction of Flood Mitigation Structure,FY 2022
"Construction of Revetment at Panamintan River, Brgy. Batong Dalig Kawit, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,"67,549,748.33",11/29/2023,REPORT,"Construction of Revetment at Panamintan River, Brgy. Batong Dalig Kawit, Cavite",03/27/2023,"CONTRACTOR:
ALMAKAR BUILDERS & METAL WORKS","CONTRACT COST: 67,549,748.33","CAVITE (14.437656 , 120.893133)",Region IV-A,Construction of Flood Mitigation Structure,FY 2023
"Construction of Drainage along Batangas Port Diversion Rd, Batangas",BATANGAS,DL ENTERPRISES / MARTIN BUILDERS INC. (FOR:MARTIN BUILDERS CONSTRUCTION SERVICES),"99,000,000.00",11/29/2023,REPORT,"Construction of Drainage along Batangas Port Diversion Rd, Batangas",04/11/2023,"CONTRACTOR:
DL ENTERPRISES / MARTIN BUILDERS INC. (FOR:MARTIN BUILDERS CONSTRUCTION SERVICES)","CONTRACT COST: 99,000,000.00","BATANGAS (13.783330 , 121.057220)",Region IV-A,Upgrading of Drainage Structure,FY 2023
"Construction of Flood Mitigation Structure, Sagrada Familia, Hagonoy, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"59,399,974.10",11/29/2023,REPORT,"Construction of Flood Mitigation Structure, Sagrada Familia, Hagonoy, Bulacan",02/13/2023,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.)","CONTRACT COST: 59,399,974.10","BULACAN (14.818050 , 120.731930)",Region III,Construction of Flood Mitigation Structure,FY 2023
"Construction of Slope Protection Works along Ingalera River, Doyong Section, Calasiao, Pangasinan",PANGASINAN,BERSON'S CONSTRUCTION & TRADING,"48,999,947.92",11/29/2023,REPORT,"Construction of Slope Protection Works along Ingalera River, Doyong Section, Calasiao, Pangasinan",02/22/2023,"CONTRACTOR:
BERSON'S CONSTRUCTION & TRADING","CONTRACT COST: 48,999,947.92","PANGASINAN (15.966680 , 120.368336)",Region I,Construction of Flood Mitigation Structure,FY 2023
"Construction of Agusan River Flood Control, Barangay Poblacion, Veruela, Agusan del Sur",AGUSAN DEL SUR,"ROCK DIWATA BUILDERS, INC. / FFJJ CONSTRUCTION","106,149,968.38",11/28/2023,REPORT,"Construction of Agusan River Flood Control, Barangay Poblacion, Veruela, Agusan del Sur",04/18/2023,"CONTRACTOR:
ROCK DIWATA BUILDERS, INC. / FFJJ CONSTRUCTION","CONTRACT COST: 106,149,968.38","AGUSAN DEL SUR (8.079744 , 125.960603)",Region XIII,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Mitigation Facility - Davao City Div Rd, Laverna Section, Brgy. Buhangin, Davao City",DAVAO DEL SUR,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"96,500,000.00",11/28/2023,REPORT,"Construction of Flood Mitigation Facility - Davao City Div Rd, Laverna Section, Brgy. Buhangin, Davao City",06/05/2022,"CONTRACTOR:
RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY)","CONTRACT COST: 96,500,000.00","DAVAO DEL SUR (7.073603 , 125.624947)",Region XI,Construction of Flood Mitigation Facility,FY 2021
"Construction of Flood Control along Balatukan River, Barangay Napaliran, Balingasag, Misamis Oriental",MISAMIS ORIENTAL,ROAD EDGE TRADING & DEVELOPMENT SERVICES / CHIU BUILDERS,"72,375,000.00",11/28/2023,REPORT,"Construction of Flood Control along Balatukan River, Barangay Napaliran, Balingasag, Misamis Oriental",04/20/2023,"CONTRACTOR:
ROAD EDGE TRADING & DEVELOPMENT SERVICES / CHIU BUILDERS","CONTRACT COST: 72,375,000.00","MISAMIS ORIENTAL (8.769745 , 124.791943)",Region X,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure along Iponan River, Cagayan de Oro City, Package 7",MISAMIS ORIENTAL,"GICAR CONSTRUCTION, INC.","24,377,496.18",11/28/2023,REPORT,"Construction of Flood Control Structure along Iponan River, Cagayan de Oro City, Package 7",03/23/2023,"CONTRACTOR:
GICAR CONSTRUCTION, INC.","CONTRACT COST: 24,377,496.18","MISAMIS ORIENTAL (8.498889 , 124.602500)",Region X,Construction of Flood Mitigation Structure,FY 2023
"Construction of Flood Control Structure along Iponan River, Barangay Pagatpat, Cagayan de Oro City",MISAMIS ORIENTAL,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,"71,255,247.92",11/28/2023,REPORT,"Construction of Flood Control Structure along Iponan River, Barangay Pagatpat, Cagayan de Oro City",03/16/2023,"CONTRACTOR:
PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.","CONTRACT COST: 71,255,247.92","MISAMIS ORIENTAL (8.460556 , 124.578611)",Region X,Construction of Flood Mitigation Structure,FY 2023
"Construction/Improvement of Flood Control Structure along Butuanon River, Brgy. Tabok, Mandaue City, Cebu",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION),"96,399,888.00",11/28/2023,REPORT,"Construction/Improvement of Flood Control Structure along Butuanon River, Brgy. Tabok, Mandaue City, Cebu",05/11/2023,"CONTRACTOR:
QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION)","CONTRACT COST: 96,399,888.00","CEBU (10.342097 , 123.947160)",Region VII,Construction of Flood Mitigation Structure,FY 2023
